word,mean
deny,부인하다
irrational,불합리한
blouse,블라우스
scary,무서운
income,수입
continual,계속적인
vapor,"증기, 증발하다"
tragic,비극의
pet,애완동물
wave,"파도, 흔들다"
at first,처음에는
frosty,싸늘한
hospital,병원
salmon,연어
regulate,조절하다
eventually,마침내
unceasing,끊임없는
day by day,매일매일
advice,충고
perspective,"관점, 전망, 원근법"
disgrace,불명예
rib,갈비
vitality,"생명력, 활력"
numeral,숫자
temperature,기온
freezer,냉각기
prose,산문
seduce,"부추기다, 나쁜길로 유혹하다"
improvisation,즉석에서 하는 것
crisp,"힘찬, 파삭파삭한"
steam,증기(가 발생하다)
cushion,쿠션
diminish,줄어들다
portray,묘사하다
watery,물기가 많은
retirement,은퇴
leaf,나뭇잎
reply,대답하다
stressful,긴장이 많은
clearly,명백히
cheerily,기분 좋게
removal,제거
slice,얇게 썬 조각
astonished,깜짝 놀란
acrobat,곡예사
corruption,부패
take A for B,A를 B라고 생각하다
cover up,~을 감추다
at home,집에 있는
tempt,유혹하다
significantly,중요하게
oppressive,"억압적인, 답답힌"
replacement,대체(물)
emit,"방출하다, 의견을 내다"
examine,"조사하다, 시험하다, 진찰하다"
forbidden,금지된
quake,떨림
nominate,지명하다
eagerly,열망하여
threat,위협
clue,실마리
structure,"구조, 건축물"
breakthrough,돌파구
rinse,헹구다
overall,전부의
force,"힘, 군대, 강요하다"
insistent,강요하는
voter,투표자
imbalance,불균형
expanse,넓은 공간
previously,이전에
eyesight,시야
warm up,호의를 갖게 되다
journey,여행
reservoir,저수지
optional,"선택의, 임의로"
undertake,~에 착수하다
in practice,실제로는
miserable,비참한
cousin,사촌
naked,"발가벗은, 꾸밈없는"
nowadays,요즈음
occasion,"경우, 행사, 때"
postwar,전쟁 후의
extension,"연장, 확대 "
keep on -ing,계속~하다
easygoing,태평스러운
wisdom,지혜
exception,제외
tangram,탱그램 (중국식 퍼즐)
cream puff,슈크림
call for,"불러오다, 요구하다"
abruptly,"갑자기, 퉁명스럽게"
recover,되찾다
dynamic,활동적인
consideration,고려
perseverance,인내
ponder,숙고하다
ideal,이상적인
ultimate,"궁극적인, 최고의"
rid,"제거하다, 해방하다"
tax,세금
shape,모양
slap,"모욕하다, 찰싹 때리다"
exactly,정확히
vitalize,활력을 주다
actively,활발히
assess,평가하다
dessert,후식
timid,소심한
wet,축축한
adolescent,사춘기의
cottage,오두막
path,작은 길
dissolve,용해하다
jail,"투옥(하다), 감옥"
dramatic,극적인
intimidate,겁주다
deeply,깊게
shadowy,"그늘진, 어둑어둑한"
orbit,궤도
ruler,"통치자, 자"
authority,권위. 당국
basket,바구니
researcher,조사자
faucet,수도꼭지
reform,개혁(하다)
raised letters,점자
toll,통행료
trapper,사냥꾼
wholesale,"도매의, 대규모의"
hostile,적대적인
locate,"~에 위치하다, 찾다"
digit,"한자리 숫자, 손가락, 발가락"
respect,존경
lifeguard,구조대원
therefore,그러므로
earthly,지구의
district,"구역, 지역"
criterion,표준
comparative,비교의
